Restaurant,Food_Name,Nutrients,Calories
Schlotzsky's,"Bacon Burrito, Half","[{'value': 11, 'attr_id': 203}, {'value': 11, 'attr_id': 204}, {'value': 21, 'attr_id': 205}, {'value': 230, 'attr_id': 208}, {'value': 3, 'attr_id': 269}, {'value': 2, 'attr_id': 291}, {'value': 530, 'attr_id': 307}, {'value': 120, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 5, 'attr_id': 606}]",230
Schlotzsky's,"Veggie Burrito, Half","[{'value': 10, 'attr_id': 203}, {'value': 10, 'attr_id': 204}, {'value': 22, 'attr_id': 205}, {'value': 210, 'attr_id': 208}, {'value': 3, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 440, 'attr_id': 307}, {'value': 115, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 4, 'attr_id': 606}]",210
Schlotzsky's,"Veggie Burrito, Whole","[{'value': 19, 'attr_id': 203}, {'value': 19, 'attr_id': 204}, {'value': 44, 'attr_id': 205}, {'value': 430, 'attr_id': 208}, {'value': 7, 'attr_id': 269}, {'value': 6, 'attr_id': 291}, {'value': 880, 'attr_id': 307}, {'value': 235, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 8, 'attr_id': 606}]",430
Schlotzsky's,"Bacon Burrito, Whole","[{'value': 22, 'attr_id': 203}, {'value': 22, 'attr_id': 204}, {'value': 41, 'attr_id': 205}, {'value': 460, 'attr_id': 208}, {'value': 5, 'attr_id': 269}, {'value': 5, 'attr_id': 291}, {'value': 1060, 'attr_id': 307}, {'value': 240, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 9, 'attr_id': 606}]",460
Domino's,"12 inch Medium Hand Tossed Pizza, Pizza Sauce","[{'value': 0, 'attr_id': 203}, {'value': 0, 'attr_id': 204}, {'value': 2, 'attr_id': 205}, {'value': 10, 'attr_id': 208}, {'value': 1, 'attr_id': 269}, {'value': 0, 'attr_id': 291}, {'value': 80, 'attr_id': 307}, {'value': 0, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0, 'attr_id': 606}]",10
Domino's,"14 inch Large Brooklyn Pizza, Pizza Sauce","[{'value': 1, 'attr_id': 203}, {'value': 0, 'attr_id': 204}, {'value': 3, 'attr_id': 205}, {'value': 15, 'attr_id': 208}, {'value': 2, 'attr_id': 269}, {'value': 1, 'attr_id': 291}, {'value': 150, 'attr_id': 307}, {'value': 0, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0, 'attr_id': 606}]",15
Domino's,"10 inch Crunchy Thin Crust Pizza, Pizza Sauce","[{'value': 0, 'attr_id': 203}, {'value': 0, 'attr_id': 204}, {'value': 2, 'attr_id': 205}, {'value': 10, 'attr_id': 208}, {'value': 2, 'attr_id': 269}, {'value': 0, 'attr_id': 291}, {'value': 115, 'attr_id': 307}, {'value': 0, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0, 'attr_id': 606}]",10
Domino's,"10 inch Small Hand Tossed Pizza, Pizza Sauce","[{'value': 0, 'attr_id': 203}, {'value': 0, 'attr_id': 204}, {'value': 2, 'attr_id': 205}, {'value': 10, 'attr_id': 208}, {'value': 1, 'attr_id': 269}, {'value': 0, 'attr_id': 291}, {'value': 75, 'attr_id': 307}, {'value': 0, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0, 'attr_id': 606}]",10
Domino's,"16 inch Large Hand Tossed Pizza, Pizza Sauce","[{'value': 1, 'attr_id': 203}, {'value': 0, 'attr_id': 204}, {'value': 3, 'attr_id': 205}, {'value': 15, 'attr_id': 208}, {'value': 2, 'attr_id': 269}, {'value': 1, 'attr_id': 291}, {'value': 150, 'attr_id': 307}, {'value': 0, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0, 'attr_id': 606}]",15
Domino's,"12 inch Medium Pan Pizza, Pizza Sauce","[{'value': 0, 'attr_id': 203}, {'value': 0, 'attr_id': 204}, {'value': 1, 'attr_id': 205}, {'value': 5, 'attr_id': 208}, {'value': 1, 'attr_id': 269}, {'value': 0, 'attr_id': 291}, {'value': 55, 'attr_id': 307}, {'value': 0, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0, 'attr_id': 606}]",5
